"","id","release_year_tv","age_rating_tv","rotten_tomatoes_tv","tomato_category_tv","netflix_tv","hulu_tv","prime_video_tv","disney_tv","all_platforms_tv"
"86",441,2021,"unknown",65,"fresh","netflix_show","","","","netflix_show"
"87",447,2021,"unknown",65,"fresh","netflix_show","","","","netflix_show"
"88",452,2021,"unknown",65,"fresh","netflix_show","","","","netflix_show"
"89",462,2020,"18+",64,"fresh","netflix_show","","","","netflix_show"
"90",479,2020,"18+",64,"fresh","netflix_show","","","","netflix_show"
"91",505,2020,"unknown",63,"fresh","netflix_show","","","","netflix_show"
"92",508,2021,"unknown",63,"fresh","netflix_show","","","","netflix_show"
"93",522,2021,"18+",63,"fresh","netflix_show","","","","netflix_show"
"94",525,2021,"18+",63,"fresh","netflix_show","","","","netflix_show"
"95",529,2021,"unknown",62,"fresh","netflix_show","","","","netflix_show"
"96",532,2020,"unknown",62,"fresh","netflix_show","","","","netflix_show"
"97",541,2021,"18+",62,"fresh","netflix_show","","","","netflix_show"
"98",542,2021,"unknown",62,"fresh","netflix_show","","","","netflix_show"
"99",548,2020,"unknown",62,"fresh","netflix_show","","","","netflix_show"
"100",550,2020,"unknown",62,"fresh","netflix_show","","","","netflix_show"
"101",555,2020,"18+",62,"fresh","netflix_show","","","","netflix_show"
"102",569,2020,"18+",61,"fresh","netflix_show","","","","netflix_show"
"103",570,2020,"unknown",61,"fresh","netflix_show","","","","netflix_show"
"104",578,2020,"18+",61,"fresh","netflix_show","","","","netflix_show"
"105",583,2021,"unknown",61,"fresh","netflix_show","","","","netflix_show"
"106",590,2020,"7+",61,"fresh","netflix_show","","","","netflix_show"
"107",594,2020,"18+",61,"fresh","netflix_show","","","","netflix_show"
"108",596,2020,"18+",61,"fresh","netflix_show","","","","netflix_show"
"109",601,2021,"unknown",61,"fresh","netflix_show","","","","netflix_show"
"110",603,2021,"18+",61,"fresh","netflix_show","","","","netflix_show"
"111",604,2020,"unknown",61,"fresh","netflix_show","","","","netflix_show"
"112",605,2021,"18+",61,"fresh","netflix_show","","","","netflix_show"
"113",606,2020,"18+",61,"fresh","netflix_show","","","","netflix_show"
"114",607,2021,"18+",61,"fresh","netflix_show","","","","netflix_show"
"115",615,2020,"18+",60,"fresh","netflix_show","","","","netflix_show"
"116",616,2020,"16+",60,"fresh","netflix_show","","","","netflix_show"
"117",617,2020,"7+",60,"fresh","netflix_show","","","","netflix_show"
"118",618,2021,"18+",60,"fresh","netflix_show","","","","netflix_show"
"119",620,2020,"7+",60,"fresh","netflix_show","","","","netflix_show"
"120",623,2020,"18+",60,"fresh","netflix_show","","","","netflix_show"
"121",626,2020,"18+",60,"fresh","netflix_show","","","","netflix_show"
"122",628,2021,"18+",60,"fresh","netflix_show","","","","netflix_show"
"123",630,2021,"16+",60,"fresh","netflix_show","","","","netflix_show"
"124",633,2021,"18+",60,"fresh","netflix_show","","","","netflix_show"
"125",636,2020,"unknown",60,"fresh","netflix_show","","","","netflix_show"
"126",640,2020,"unknown",60,"fresh","netflix_show","","","","netflix_show"
"127",641,2020,"16+",60,"fresh","netflix_show","","","","netflix_show"
"128",643,2021,"16+",60,"fresh","netflix_show","","","","netflix_show"
"129",652,2021,"7+",60,"fresh","netflix_show","","","","netflix_show"
"130",660,2021,"18+",59,"rotten","netflix_show","","","","netflix_show"
"131",661,2020,"18+",59,"rotten","netflix_show","","","","netflix_show"
"132",663,2021,"unknown",59,"rotten","netflix_show","","","","netflix_show"
"133",665,2020,"unknown",59,"rotten","netflix_show","","","","netflix_show"
"134",676,2021,"unknown",59,"rotten","netflix_show","","","","netflix_show"
"135",680,2021,"unknown",59,"rotten","netflix_show","","","","netflix_show"
"136",682,2021,"18+",59,"rotten","netflix_show","","","","netflix_show"
"137",683,2021,"unknown",59,"rotten","netflix_show","","","","netflix_show"
"138",688,2021,"18+",59,"rotten","netflix_show","","","","netflix_show"
"139",690,2021,"unknown",59,"rotten","netflix_show","","","","netflix_show"
"140",691,2021,"unknown",59,"rotten","netflix_show","","","","netflix_show"
"141",694,2020,"unknown",59,"rotten","netflix_show","","","","netflix_show"
"142",695,2021,"unknown",58,"rotten","netflix_show","","","","netflix_show"
"143",697,2020,"unknown",58,"rotten","netflix_show","","","","netflix_show"
"144",698,2021,"unknown",58,"rotten","netflix_show","","","","netflix_show"
"145",699,2021,"18+",58,"rotten","netflix_show","","","","netflix_show"
"146",700,2020,"unknown",58,"rotten","netflix_show","","","","netflix_show"
"147",702,2020,"7+",58,"rotten","netflix_show","","","","netflix_show"
"148",707,2020,"unknown",58,"rotten","netflix_show","","","","netflix_show"
"149",708,2020,"18+",58,"rotten","netflix_show","","","","netflix_show"
"150",710,2021,"unknown",58,"rotten","netflix_show","","","","netflix_show"
"151",711,2021,"unknown",58,"rotten","netflix_show","","","","netflix_show"
"152",718,2020,"unknown",58,"rotten","netflix_show","","","","netflix_show"
"153",719,2021,"18+",58,"rotten","netflix_show","","","","netflix_show"
"154",720,2021,"all",58,"rotten","netflix_show","","","","netflix_show"
"155",726,2020,"18+",58,"rotten","netflix_show","","","","netflix_show"
"156",727,2021,"unknown",58,"rotten","netflix_show","","","","netflix_show"
"157",728,2021,"16+",58,"rotten","netflix_show","","","","netflix_show"
"158",730,2021,"unknown",58,"rotten","netflix_show","","","","netflix_show"
"159",734,2021,"18+",57,"rotten","netflix_show","","","","netflix_show"
"160",737,2021,"18+",57,"rotten","netflix_show","","","","netflix_show"
"161",741,2020,"16+",57,"rotten","netflix_show","","","","netflix_show"
"162",742,2021,"unknown",57,"rotten","netflix_show","","","","netflix_show"
"163",743,2020,"16+",57,"rotten","netflix_show","","","","netflix_show"
"164",747,2020,"18+",57,"rotten","netflix_show","","","","netflix_show"
"165",749,2020,"unknown",57,"rotten","netflix_show","","","","netflix_show"
"166",752,2021,"unknown",57,"rotten","netflix_show","","","","netflix_show"
"167",755,2021,"unknown",57,"rotten","netflix_show","","","","netflix_show"
"168",758,2021,"unknown",57,"rotten","netflix_show","","","","netflix_show"
"169",760,2020,"18+",57,"rotten","netflix_show","hulu_show","","","multi_platform_show"
"170",769,2020,"18+",57,"rotten","netflix_show","","","","netflix_show"
"171",775,2021,"unknown",56,"rotten","netflix_show","","","","netflix_show"
"172",783,2020,"7+",56,"rotten","netflix_show","","","","netflix_show"
"173",784,2021,"unknown",56,"rotten","netflix_show","","","","netflix_show"
"174",786,2020,"unknown",56,"rotten","netflix_show","","","","netflix_show"
"175",789,2020,"16+",56,"rotten","netflix_show","","","","netflix_show"
